Date: 1-1-2022
Player: W. Carter Jr., line: O 11.5, odds: (+105)
Player: D. DeRozan, line: O 5.5, odds: (+110)
Player: F. Wagner, line: O 5.5, odds: (+105)
Player: Mo Bamba, line: O 7.5, odds: (EVEN)
Player: T. Ross, line: O 3.5, odds: (+125)
Player: G. Harris, line: O 2.5, odds: (-150)
Player: Z. LaVine, line: O 5.5, odds: (+120)
Player: T. Frazier, line: O 2.5, odds: (-150)
Player: F. Campazzo, line: O 2.5, odds: (-150)
Player: A. Rivers, line: O 2.5, odds: (+145)
Player: W. Barton, line: O 4.5, odds: (-128)
Player: L. Doncic, line: O 7.5, odds: (+110)
Player: R. Bullock, line: O 2.5, odds: (-120)
Player: D. Powell, line: O 5.5, odds: (-110)
Player: T. Hardaway Jr., line: O 3.5, odds: (+115)
Player: A. Gordon, line: O 5.5, odds: (+110)
Player: M. Kleber, line: O 5.5, odds: (+115)
Player: N. Jokic, line: O 13.5, odds: (-130)
Player: J. Brunson, line: O 3.5, odds: (-130)
Player: D. Finney-Smith, line: O 5.5, odds: (+125)
Player: J. Green, line: O 3.5, odds: (-120)
Player: N. Little, line: O 6.5, odds: (+105)
Player: R. Covington, line: O 4.5, odds: (-135)
Player: L. Williams, line: O 2.5, odds: (-120)
Player: S. Mays, line: O 3.5, odds: (-110)
Player: A. Simons, line: O 3.5, odds: (+115)
Player: N. Powell, line: O 3.5, odds: (-145)
Player: L. Nance Jr., line: O 8.5, odds: (+105)
Player: D. Smith Jr., line: O 2.5, odds: (-170)
Player: D. Gallinari, line: O 4.5, odds: (EVEN)
Player: B. McLemore, line: O 1.5, odds: (-175)
Player: T. Young, line: O 3.5, odds: (-130)
Player: J. Nurkic, line: O 8.5, odds: (-120)
Player: C. Reddish, line: O 3.5, odds: (-115)
Player: T. Luwawu-Cabarrot, line: O 3.5, odds: (+135)
Player: K. Huerter, line: O 3.5, odds: (+120)
Player: C. Capela, line: O 15.5, odds: (+102)
Player: N. Bjelica, line: O 3.5, odds: (EVEN)
Player: J. Butler, line: O 6.5, odds: (EVEN)
Player: J. Poole, line: O 2.5, odds: (+104)
Player: C. Martin, line: O 4.5, odds: (-105)
Player: G. Payton II, line: O 4.5, odds: (+106)
Player: O. Porter Jr., line: O 5.5, odds: (-105)
Player: O. Yurtseven, line: O 11.5, odds: (EVEN)
Player: P.J. Tucker, line: O 4.5, odds: (-140)
Player: D. Green, line: O 8.5, odds: (-105)
Player: T. Herro, line: O 5.5, odds: (EVEN)
Player: K. Lowry, line: O 4.5, odds: (+120)
Player: S. Curry, line: O 4.5, odds: (-145)
Player: A. Wiggins, line: O 4.5, odds: (-135)
Player: K. Looney, line: O 7.5, odds: (-140)
Player: E. Bledsoe, line: O 4.5, odds: (+118)
Player: M. Morris Sr., line: O 6.5, odds: (-140)
Player: A. Coffey, line: O 4.5, odds: (+115)
Player: J. Nowell, line: O 2.5, odds: (-180)
Player: J. Vanderbilt, line: O 9.5, odds: (-105)
Player: P. Beverley, line: O 4.5, odds: (-145)
Player: J. McDaniels, line: O 4.5, odds: (-135)
Player: A. Edwards, line: O 5.5, odds: (-105)
Player: R. Jackson, line: O 3.5, odds: (-150)
Player: S. Ibaka, line: O 6.5, odds: (-105)
Player: N. Reid, line: O 6.5, odds: (+120)
