Date: 1-1-2022
Player: K. Kuzma, line: O 3.5, odds: (-160)
Player: D. Avdija, line: O 2.5, odds: (-130)
Player: J. Christopher, line: O 1.5, odds: (EVEN)
Player: T. Ross, line: O 2.5, odds: (+135)
Player: C. Anthony, line: O 4.5, odds: (-125)
Player: G. Niang, line: O 1.5, odds: (+185)
Player: W. Carter Jr., line: O 2.5, odds: (+110)
Player: F. Korkmaz, line: O 2.5, odds: (-185)
Player: I. Joe, line: O 1.5, odds: (+175)
Player: A. Drummond, line: O 1.5, odds: (+140)
Player: Mo Bamba, line: O 0.5, odds: (-210)
Player: J. Embiid, line: O 4.5, odds: (+120)
Player: F. Wagner, line: O 2.5, odds: (-130)
Player: S. Curry, line: O 4.5, odds: (+110)
Player: R.J. Hampton Jr., line: O 1.5, odds: (-195)
Player: T. Harris, line: O 3.5, odds: (-160)
Player: D. Green, line: O 1.5, odds: (+105)
Player: G. Harris, line: O 1.5, odds: (-200)
Player: G. Hayward, line: O 3.5, odds: (+120)
Player: J. Jackson, line: O 1.5, odds: (+110)
Player: H. Diallo, line: O 2.5, odds: (-145)
Player: K. Oubre Jr., line: O 0.5, odds: (-200)
Player: C. Cunningham, line: O 5.5, odds: (-150)
Player: K. Hayes, line: O 3.5, odds: (-110)
Player: L. Ball, line: O 7.5, odds: (+115)
Player: M. Plumlee, line: O 2.5, odds: (-135)
Player: J. McDaniels, line: O 0.5, odds: (-200)
Player: S. Bey, line: O 2.5, odds: (-115)
Player: C. Martin, line: O 2.5, odds: (+135)
Player: P.J. Washington, line: O 1.5, odds: (+120)
Player: M. Bridges, line: O 3.5, odds: (+110)
Player: T. Rozier, line: O 3.5, odds: (+115)
Player: L. Garza, line: O 0.5, odds: (+115)
Player: T. Lyles, line: O 1.5, odds: (-110)
Player: D. Vassell, line: O 1.5, odds: (+110)
Player: K. Johnson, line: O 1.5, odds: (+110)
Player: J. Poeltl, line: O 2.5, odds: (-115)
Player: B. Forbes, line: O 1.5, odds: (+170)
Player: J. Richardson, line: O 1.5, odds: (+120)
Player: T. Jones, line: O 2.5, odds: (-135)
Player: Al Horford, line: O 3.5, odds: (-110)
Player: J. Landale, line: O 0.5, odds: (-115)
Player: J. Tatum, line: O 3.5, odds: (-110)
Player: D. Schroder, line: O 3.5, odds: (+115)
Player: D. Murray, line: O 7.5, odds: (+110)
Player: J. Brown, line: O 2.5, odds: (-130)
Player: M. Smart, line: O 4.5, odds: (-155)
Player: R. Williams III, line: O 2.5, odds: (+145)
Player: D. White, line: O 4.5, odds: (-125)
Player: M. Turner, line: O 1.5, odds: (+150)
Player: K. Sykes, line: O 4.5, odds: (-145)
Player: N. Claxton, line: O 0.5, odds: (-135)
Player: O. Brissett, line: O 1.5, odds: (+135)
Player: J. Holiday, line: O 1.5, odds: (-185)
Player: D. Sabonis, line: O 5.5, odds: (-105)
Player: K. Durant, line: O 4.5, odds: (-110)
Player: L. Stephenson, line: O 1.5, odds: (-150)
Player: J. Harden, line: O 8.5, odds: (-145)
Player: D. Washington Jr., line: O 3.5, odds: (+125)
Player: P. Mills, line: O 1.5, odds: (-115)
Player: K. Irving, line: O 3.5, odds: (-115)
Player: D. Duke Jr., line: O 0.5, odds: (-185)
Player: L. Aldridge, line: O 0.5, odds: (-120)
Player: J. Brunson, line: O 4.5, odds: (-115)
Player: J. Poole, line: O 2.5, odds: (-115)
Player: J. Toscano-Anderson, line: O 1.5, odds: (-150)
Player: A. Wiggins, line: O 1.5, odds: (-175)
Player: D. Powell, line: O 1.5, odds: (+180)
Player: L. Doncic, line: O 7.5, odds: (-150)
Player: K. Looney, line: O 1.5, odds: (-150)
Player: D. Finney-Smith, line: O 1.5, odds: (-150)
Player: D. Lee, line: O 0.5, odds: (-130)
Player: G. Payton II, line: O 1.5, odds: (+140)
Player: M. Kleber, line: O 1.5, odds: (+160)
Player: S. Curry, line: O 5.5, odds: (+110)
Player: N. Bjelica, line: O 1.5, odds: (-105)
Player: T. Hardaway Jr., line: O 1.5, odds: (+115)
Player: R. Bullock, line: O 0.5, odds: (-255)
Player: D. Green, line: O 8.5, odds: (+110)
Player: J. McDaniels, line: O 0.5, odds: (-200)
Player: J. Robinson-Earl, line: O 0.5, odds: (-215)
Player: D. Russell, line: O 6.5, odds: (+105)
Player: J. Vanderbilt, line: O 1.5, odds: (+185)
Player: M. Muscala, line: O 0.5, odds: (+120)
